title,url,full_text,word_count
हैदराबाद के निज़ाम,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A5%88%E0%A4%A6%E0%A4%B0%E0%A4%BE%E0%A4%AC%E0%A4%BE%E0%A4%A6_%E0%A4%95%E0%A5%87_%E0%A4%A8%E0%A4%BF%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%AE,"हैदराबाद के निज़ाम-उल-मुल्क(उर्दू:نظام - ال - ملک وف حیدرآبا,तेलुगु: నిజాం - ఉల్ - ముల్క్ అఫ్ హైదరాబాద్,मराठी: निझाम-उल-मुल्क ऑफ हैदराबाद,कन्नड़: ನಿಜ್ಯಮ್ - ಉಲ್ - ಮುಲ್ಕ್ ಆಫ್ ಹೈದರಾಬಾದ್),हैदराबाद स्टेटकी एक पूर्वराजशाहीथी, जिसका विस्तार तीन वर्तमान भारतीय राज्योंआंध्र प्रदेश,कर्नाटकऔरमहाराष्ट्रमें था। निज़ाम-उल-मुल्क जिसे अक्सर संक्षेप में सिर्फ निज़ाम ही कहा जाता है और जिसका अर्थ उर्दू भाषा मेंक्षेत्र का प्रशासकहोता है, हैदराबाद रियासत के स्थानीय संप्रभु शासकों की पदवी को कहा जाता था। निज़ाम 1719 से हैदराबाद रियासत के शासक थे औरआसफ़ जाही राजवंशसे संबंधित थे।
इस राजवंश की स्थापनामीर क़मर-उद-दीन सिद्दीकी, ने की थी जो 1713 से 1721 के बीचमुग़ल साम्राज्यकेदक्कनक्षेत्र का सूबेदार था। क़मर-उद-दीन सिद्दीकी ने असंतत रूप से 1724 में आसफ जाह के खिताब के तहत हैदराबाद पर शासन किया और 1707 मेंऔरंगजेबकी मृत्यु के बाद जब मुगल साम्राज्य कमज़ोर हो गया तो युवा आसफ जाह ने खुद को स्वतंत्र घोषित कर दिया। 1798 से हैदराबाद, ब्रिटिश भारत की रियासतों में से एक था, लेकिन उसने अपने आंतरिक मामलों पर अपना नियंत्रण बनाए रखा था।
सात निजामों ने लगभग दो शताब्दियों यानि 1947 में भारत की स्वतंत्रता तक हैदराबाद पर शासन किया। ज्यूंकि सातवे निज़ाममीर उस्मान अली ख़ानथे।[1]आसफ जाही शासकसाहित्य,कला,वास्तुकला,संस्कृति, जवाहरात संग्रह और उत्तम भोजन के बड़े संरक्षक थे। निजाम ने हैदराबाद पर 17 सितम्बर 1948 तक शासन किया,[2]जब इन्होने भारतीय बलों के समक्ष आत्मसमर्पण किया और इनके द्वारा शासित क्षेत्र को भारतीय संघ में एकीकृत किया गया।[3]
हैदराबाद
भारत द्वारा अपने कब्जे के समय तक, हैदराबाद सभी रियासतों का सबसे बड़ा और सबसे समृद्ध राज्य था। इसमें काफी सजातीय क्षेत्र का शामिल था और इसकी आबादी लगभग 16.34 मिलियन थी (1941 की जनगणना के अनुसार)। इस साम्राज्य में 86,000 वर्ग मील (223,000 वर्ग किमी) का क्षेत्र शामिल था। यह लगभग वर्तमान यूनाइटेड किंगडम के अकार का था। निज़ाम का हैदराबाद साम्राज्य धार्मिक सद्भावना के लिए भी प्रसिद्द था।[4]
हैदराबाद राज्य की अपनी सेना, एयरलाइन, दूरसंचार प्रणाली, रेलवे नेटवर्क, डाक प्रणाली, मुद्रा और रेडियो प्रसारण सेवा थी।[5]
निजाम के नाम से स्थान और चीजें
निजाम के नाम पर स्थित स्थानों और चीजों मेंनिज़ामाबादऔरनिजामाबाद जिला, जो तेलंगाना राज्य में एक शहर और जिला है;जामिया निजामिया-एक विश्वविद्यालय;निजाम कॉलेज;निजाम संग्रहालय;गवर्नमेंट निज़ामिआ जनरल हॉस्पिटल,निजाम सागर,निज़ामस इंस्टिट्यूट ऑफ़ मेडिकल साइंसस; निजाम्स के ज्वेल्स; निजाम डायमंड;  निज़ाम की गारंटीकृत राज्य रेलवे; निजामिया वेधशाला ;निज़ाम ऑफ़ हैदराबाद नेकलेस;निजाम के आकस्मिक;निज़ाम गेट; निज़ाम पैलेस (कोलकाता); निज़ाम क्लब और एचएमएएस निज़ाम- एक रॉयल ऑस्ट्रेलियाई नौसेना पोत जिसका निर्माण आंशिक रूप से निजाम द्वारा वित्त पोषित किया गया था।
महल
असफ जाह शानदार निर्माता थे। निजाम के कई महल थे:
- चौमाहल्ला पैलेस- शुरुआती निज़ाम का आधिकारिक निवास
इन्हें भी देखें
बाहरी कड़ियाँ
- हैदराबाद के #निज़ाम #मंदिरों को दान
सन्दर्भ
1. ↑""हैदराबाद : निज़ाम की इच्छा के बावजूद यह रियासत पाकिस्तान में क्यों नहीं जा पाई"".
1. ↑""This day, that year: How Hyderabad became a part of the union of India"".मूलसे 30 दिसंबर 2018 को पुरालेखित. अभिगमन तिथि 16 सितंबर 2018.
1. ↑""कैसे बना हैदराबाद भारत का हिस्सा!"". मूल से 17 दिसंबर 2017 कोपुरालेखित. अभिगमन तिथि 2 दिसंबर 2017.
1. ↑""'Nizam of Hyderabad led life simpler than Mahatma Gandhi'"".मूलसे 11",500
"भारतीय प्रौद्योगिकी संस्थान, हैदराबाद",https://hi.wikipedia.org/wiki/%E0%A4%86%E0%A4%88_%E0%A4%86%E0%A4%88_%E0%A4%9F%E0%A5%80_%E0%A4%B9%E0%A5%88%E0%A4%A6%E0%A4%B0%E0%A4%BE%E0%A4%AC%E0%A4%BE%E0%A4%A6,"भारतीय प्रौद्योगिकी संस्थान, हैदराबादमानव संसाधन विकास मंत्रालय, भारत सरकार द्वारा स्थापित संस्थान है।[1]संस्थान का पहला सत्र सन २००८ में शरू हुआ। संस्थानतेलंगानाकेमेदकजिले में स्थित है। संस्थान अभी अस्थाई कैम्पस में चल रहा है। सन २०१२ तक संस्थान अपने स्थाई कैम्पस में स्थानांतरित हो जाएगा।
इतिहास
संस्थान की स्थापना २००८ में हुई।[2]
सन्दर्भ
1. ↑""Girls make up 26% of new entrants at 4 southern IITs, above national average of 20%"".
1. ↑""Sonia Gandhi lays foundation stone for Medak IIT campus"".Hindustan Times(अंग्रेज़ी में). 2009-02-27. अभिगमन तिथि2021-06-23.
बाहरी कड़ियाँ
- भारतीय प्रौद्योगिकी संस्थान, हैदराबादका जालघर",92
भारत,https://hi.wikipedia.org/wiki/%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4,"भारत(आधिकारिक नाम:भारत गणराज्य,अंग्रेज़ी:Republic of India,लिप्यन्तरण:रिपब्लिक ऑफ़ इंडिया)दक्षिण एशियामें स्थितभारतीय उपमहाद्वीपका सबसे बड़ा देश है। भारत भौगोलिक दृष्टि से विश्व कासातवाँसबसे बड़ा देश है, जबकिजनसंख्याके दृष्टिकोण से दुनिया का सबसे बड़ा देश है[20]। भारत के पश्चिम मेंपाकिस्तान, उत्तर पश्चिम में अफगानिस्तान, उत्तर-पूर्व मेंचीन,नेपालऔरभूटान, पूर्व मेंबांग्लादेशऔरम्यान्मारस्थित हैं।हिंद महासागरमें इसके दक्षिण पश्चिम मेंमालदीव, दक्षिण मेंश्रीलंकाऔर दक्षिण-पूर्व मेंइंडोनेशियासे भारत की सामुद्रिक सीमा लगती है। इसके उत्तर मेंहिमालय पर्वततथा दक्षिण मेंभारतीय महासागरस्थित है। दक्षिण-पूर्व मेंबंगाल की खाड़ीतथा पश्चिम मेंअरब सागरहै।
1,200 ईसा पूर्वसंस्कृत भाषासंपूर्ण भारतीय उपमहाद्वीप में फैली हुए थी और तब तक यहां परहिंदू धर्मका उद्धव हो चुका था औरऋग्वेदकी रचना भी हो चुकी थी।[21]इसी समय बौद्ध एवं जैन धर्म उत्पन्न हो रहे होते थे।[22]प्रारंभिक राजनीतिक एकत्रीकरण नेगंगा बेसिनमें स्थितमौर्यऔरगुप्त साम्राज्योंको जन्म दिया।[23]उनका समाज विस्तृत सृजनशीलता से भरा हुआ था।[24]
प्रारंभिक मध्ययुगीन काल में,ईसाई धर्म,इस्लाम,यहूदी धर्मऔरपारसी धर्मने भारत के दक्षिणी और पश्चिमी तटों पर जड़ें जमा लीं।[25]मध्य एशियासे मुस्लिम सेनाओं ने भारत के उत्तरी मैदानों पर लगातार अत्याचार किया,[26]अंततः दिल्ली सल्तनत की स्थापना हुई और उत्तर भारत कोमध्यकालीन इस्लाम साम्राज्यमें मिला लिया गया।[27]15 वीं शताब्दी में,विजयनगर साम्राज्यने दक्षिण भारत में एक लंबे समय तक चलने वाली समग्र हिंदू संस्कृति बनाई।[28]पंजाबमेंसिख धर्मकी स्थापना हुई।[29]धीरे-धीरेब्रिटिश ईस्ट इंडिया कंपनी के शासनका विस्तार हुआ, जिसने भारत को औपनिवेशिक अर्थव्यवस्था में बदल दिया तथा अपनीसंप्रभुताको भी मज़बूत किया।[30]ब्रिटिश राज शासन१८५८ में शुरू हुआ। धीरे धीरे एक प्रभावशाली राष्ट्रवादी आंदोलन शुरू हुआ जिसे अहिंसक विरोध के लिए जाना गया और ब्रिटिश शासन को समाप्त करने का प्रमुख कारक बन गया।[31]1947 में ब्रिटिशभारतीय साम्राज्यको दो स्वतंत्र प्रभुत्वों में विभाजित किया गया,भारतीय अधिराज्यतथापाकिस्तान अधिराज्य, जिन्हें धर्म के आधार पर विभाजित किया गया।[32][33]
१९५० से भारत एक संघीय गणराज्य है। भारत की जनसंख्या १९५१ में ३६.१ करोड़ से बढ़कर २०११ में १२१.१ करोड़, २०२१ में बढ़कर १४०.७६ करोड़ हो गई।[34]प्रति व्यक्ति आय$64 से बढ़कर $1,498, 2020- 21 में $2150, शुरुआती 2022- 23 में $2450 हो गई और इसकी साक्षरता दर 16.6% से बढ़कर 74.04% पुरुषों के लिए एवम 64% महिलाओं की हो गई। भारत एक तेज़ी से बढ़ती हुईप्रमुख अर्थव्यवस्थाऔरसूचना प्रौद्योगिकीसेवाओं का केंद्र बन गया है।[35]अंतरिक्ष क्षेत्रमें भारत ने उल्लेखनीय तथा अद्वितीय प्रगति की। भारतीय फ़िल्में, संगीत और आध्यात्मिक शिक्षा वैश्विक संस्कृति में विशेष भूमिका निभाती हैं।[36]भारत ने ग़रीबी दर को काफ़ी हद तक कम कर दिया है।[37]भारत देशपरमाणु बम रखने वाला देशहै। भारत-चीन सीमा पर भारत का चीन से विवाद चल रहा है।कश्मीरक्षेत्र को लेकर भारत औरपाकिस्तानमें विवाद है।[38]लैंगिक असमानता, बाल शोषण,बाल कुपोषण,[39]ग़रीबी, भ्रष्टाचार, प्रदूषण इत्यादि भारत के सामने प्रमुख चुनौतियाँ है।[40]21.4% क्षेत्र पर वन है।[41]भारत के वन्यजीव, जिन्हें परंपरागत रूप सेभारत की संस्कृतिमें सहिष्णुता के साथ देखा गया है,[42]इन जंगलों और अन्य जगहों परसंरक्षित आवासोंमें निवास करते हैं।
12 फ़रवरी वर्ष 1948 मेंमहात्मा गाँधीके अस्थि कलश जिन 12 तटों पर विसर्जित किए गए थे,त्रिमोहिनी संगमभी उनमें से एक है |
नामोत्पत्ति
भारत के दो आधिकारिक नाम हैं-हिंदीमेंभारतऔरअंग्रेज़ीमेंइंडिया(India)। इंडिया नाम की उत्पत्तिसिंधु नदीकेअंग्रेज़ीनाम ""इंडस"" से हुई है।[43]श्रीमद्भागवत महापुराणमें वर्णित एक कथा के अनुसार भारत नाममनुके वंशज तथाऋषभदेवके सबसे बड़े बेटे एक प्राचीन सम्राटभरतके नाम से लिया गया है।[44][45][46][47][48][49]एक व्युत्पत्ति के अनुसार भारत (भा + रत) शब्द का मतलब है आंतरिक प्रकाश या",500
अंगिका भाषा,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%97%E0%A4%BF%E0%A4%95%E0%A4%BE,"अंगिकाअंगप्रदेशकीभाषाहै जो बिहार औरझारखण्डके कुछ भागों में बोली जाती है। यहनेपालकेतराईभाग में भी बोली जाती है। अंगिका भारतीय आर्य भाषा है।[उद्धरण चाहिए]
भाषा परिवार
अंगिकाहिन्द-यूरोपीय भाषा-परिवारपरिवार के अन्दर आती है। येहिन्द आर्यउपशाखा के अन्तर्गत वर्गीकृत है। हिन्द-आर्य भाषाएँ वो भाषाएँ हैं जोसंस्कृतसे उत्पन्न हुई हैं।उर्दू,कश्मीरी,बंगाली,उड़िया,पंजाबी,रोमानी,मराठी,मैथिली,नेपालीजैसी भाषाएँ भीहिन्द-आर्य भाषाएँहैं।
'अंगिका' शब्द की व्युत्पत्ति
अंगिकाशब्दअंगसे बना है।अंगप्रदेश(वर्तमान मेंभागलपुरके आस पास का क्षेत्र) में बोली जाने वाली भाषा को अंगिका नाम दिया गया।
अंगिका को लोग छैछू के नाम से भी जानते हैं।[उद्धरण चाहिए]
स्रोत
1. ↑""संग्रहीत प्रति"". मूल से 21 मार्च 2018 कोपुरालेखित. अभिगमन तिथि 8 जुलाई 2018.
इन्हें भी देखें
बाहरी कड़ियाँ",101
गुजराती भाषा,https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%9C%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,"गुजरातीभारतकी एकभाषाहै जोगुजरातराज्य,दीवऔरमुंबईमें बोली जाती है।गुजराती साहित्यभारतीय भाषाओं के सबसे अधिक समृद्ध साहित्य में से है। भारत की दूसरी भाषाओं की तरह गुजराती भाषा का जन्मसंस्कृतभाषा से हुआ हैं। दूसरे राज्य एवं विदेशों में भी गुजराती बोलने वाले लोग निवास करते हैं। जिन में पाकिस्तान, अमेरिका, यु.के., केन्या, सिंगापुर, अफ्रिका, ऑस्ट्रेलीया मुख्य है।महात्मा गांधीएवंवल्लभ भाई पटेल। गुजराती बोलने वाले भारत के दूसरे महानुभावों मेंभीमराव आम्बेडकर,मुहम्मद अली जिन्ना,दयानंद सरस्वती,मोरारजी देसाई,धीरूभाई अंबानीभी सम्मिलित हैं। भारत के प्रधानमंत्रीनरेन्द्र मोदी(२०१४ - हाल) भी गुजरात के वडनगर के रहने वाले हैं और उनकी मातृभाषा भी गुजराती है |
सर्वनाम
पुरुषवाचक
लिपि
यह भाषागुजराती लिपिमें लिखी जाती है।
यह भी देखिए
सन्दर्भ
बाहरी कड़ियाँ
- गुजराती भाषा- गुजराती भाषा के बारे में सारी जानकारी
- भगवद्गोमण्डल- गुजराती भाषा का महान विश्वकोष
- गुजराती का एक अन्य विस्तृत विश्वकोश
- Etymological Gujarati English Dictionary(Google booka By M. B. Belsare)
- हिन्दी के माध्यम से गुजराती सीखिये
- गुजराती से हिन्दी अनुवादक[मृत कड़ियाँ](आनलाइन)
- Convert Non-unicode Gujarati Font into Gujarati Unicode Font
- भारतीय भाषा ज्योति: गुजराती—हिंदी के माध्यम से गुजराती सिखाने की किताब
- हिन्दी के विकास में गुजरात के सांप्रदायिक कवियों का योगदान[मृत कड़ियाँ](सीमा राठौर)
- कुच्छी भाषा : अक्षर, उच्चारण और भाषा",197
गुजराती साहित्य,https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%9C%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%80_%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF,"गुजराती भाषाआधुनिक भारतीय आर्य भाषाओं में से एक है और इसका विकासशौरसेनीप्राकृतके परवर्ती रूप 'नागर अपभ्रंश' से हुआ है। गुजराती भाषा का क्षेत्रगुजरात,सौराष्ट्रऔरकच्छके अतिरिक्तमहाराष्ट्रका सीमावर्ती प्रदेश तथाराजस्थानका दक्षिण पश्चिमी भाग भी है।सौराष्ट्रीतथाकच्छीइसकी अन्य प्रमुख बोलियाँ हैं।हेमचंद्र सूरिने अपने ग्रंथों में जिसअपभ्रंशका संकेत किया है, उसका परवर्ती रूप 'गुर्जर अपभ्रंश' के नाम से प्रसिद्ध है और इसमें अनेक साहित्यिक कृतियाँ मिलती हैं। इस अपभ्रंश का क्षेत्र मूलत:गुजरातऔर पश्चिमीराजस्थानथा और इस दृष्टि से पश्चिमीराजस्थानीअथवामारवाड़ी, गुजराती भाषा से घनिष्ठतया संबद्ध है।
गुजराती साहित्य में दो युग माने जाते हैं-
मध्यकालीन साहित्य
गुर्जर या श्वेतांवर अपभ्रंश की कृतियों को गुजराती की आद्य कृतियाँ माना जा सकता है। ये प्राय:जैनकवियों की लोकसाहित्यिक शैली में निबद्ध रचनाएँ हैं। रास, फाग तथा चर्चरी काव्यों का प्रभूत साहित्य हमें उपलब्ध है, जिनमें प्रमुख भरतबाहुबलिरास, रेवंतदास, थूलिभद्दफाग, नेमिनाथचौपाई आदि हैं। इसके बाद भी 13वीं 14वीं सदी की कुछ गद्य रचनाएँ मिलतीं हैं, जो एक साथ जूनी गुजराती और जूनी राजस्थानी की संक्रांतिकालीन स्थिति का परिचय देती हैं। वस्तुत: 16वीं सदी तक,मीराबाईतक, गुजराती और पश्चिमी राजस्थानी एक अविभक्त भाषा थी। इनका विपाटन इसी सदी के आसपास शुरू हुआ था।
प्राचीन गुजराती साहित्य का इतिहास विशेष समृद्ध नहीं है। आरंभिक कृतियों में श्रीधर कवि का ‘रणमल्लछंद’ (1390 ई. ल.) है, जिसमें ईडर के राजारणमल्लऔर गुजरात के मुसलमान शासक के युद्ध का वर्णन है। दूसरी कृतिपद्मनाभकवि का कान्हड़देप्रबन्ध (1456 ई.) है, जिसमेंजालौरके राजाकान्हड़देपरअलाउद्दीन खिलजीके आक्रमण और युद्ध का वर्णन है। यह काव्यवीररसकी सुन्दर रचना है और गुजराती साहित्य के आकर ग्रंथों में परिगणित होता है। इन्हीं दिनों मध्ययुगीन सांस्कृतिक जागरण की लहर गुजरात में भी दौड़ पड़ी थी, जिसके दो प्रमुख प्रतिनिधिनरसी मेहताऔरभालणकवि हैं। नरसी का समय विवाद्ग्रस्त है, पर अधिकांश विद्वानों के अनुसार ये 15वीं सदी के उत्तराद्ध में विद्यमान थे। इनकी कृष्णभक्ति के विषय में अनेक किंवदंतिया प्रचलित हैं। नरसी मेहता गुजराती पदसाहित्य के जन्मदाता हैं जिसमें निश्चल भक्तिभावना की अनुपम अभिव्यक्ति पाई जाती है। भालण कवि का समय भी लगभग यही माना जाता है। इन्होंने रामायण, महाभारत और भागवत के पौराणिक इतिवृत्तों को लेकर अनेक काव्य निबद्ध किए और गरबासाहित्य को जन्म दिया। वात्सल्य और श्रृंगार के चित्रण में भालण सिद्धहस्त माने जाते हैं। पद साहित्य और आख्यान काव्यों की इन दोनों शैलियों ने मध्ययुगीन गुजराती साहित्य को कई कवि प्रदान किए हैं। प्रथम शैली का अन्य महत्वपूर्ण व्यक्तित्व मीराबाई (16वीं सदी) हैं जिनपर नरसी का प्रभाव स्पष्ट परिलक्षित होता है। हिंदी और राजस्थानी की तरह मीराबाई के अनेक सरस पद गुजराती में पाए जाते हैं जो नरसी के पदों की भाँति ही गुजराती जनता मेंलोकगीतोंकी तरह गाए जाते हैं। आख्यान काव्यों की शैली का निर्वाह नागर, केशवदास, मधुसूदन व्यास, गणपति आदि कई कवियों में मिलता है, किंतु इसका चरमपरिपाक प्रेमानंद में दिखाई पड़ता है।
प्रेमानन्द भट्ट(17वीं शती) गुजराती भक्ति साहित्य के सर्वोच्च कवि माने जाते हैं। वेबड़ौदाकेनागर ब्राह्मणपरिवार में पैदा हुए थे औरसंस्कृत,हिन्दी,गुजरातीआदि भाषाओं के अच्छे जानकार थे। प्रेमानन्द नेरामायण,महाभारत,भागवतऔरमार्कण्डेयपुराणके कई आख्यानों पर काव्य निबद्ध किए जिनकी संख्या 50 से ऊपर है। ये गुजराती के सर्वप्रथम नाटककार भी हैं, जिनकी तीन नाट्य कृतियाँ हैं। भावगांभीर्य के साथ साथ अलंकृत शैली इनकी विशेषता है। इन्हीं के ढंग पर और",500
पन्नालाल पटेल,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%B2_%E0%A4%AA%E0%A4%9F%E0%A5%87%E0%A4%B2,"पन्नालाल पटेलएकगुजरातीसाहित्यकार हैं। इन्हें1985मेंज्ञानपीठ पुरस्कारसे सम्मानित किया गया था।
सन्दर्भ
- कुप्पाली वी गौड़ा पुटप्पा,उमाशंकर जोशी(१९६७)",16
गोविन्द शंकर कुरुप,https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A5%8B%E0%A4%B5%E0%A4%BF%E0%A4%A8%E0%A5%8D%E0%A4%A6_%E0%A4%B6%E0%A4%82%E0%A4%95%E0%A4%B0_%E0%A4%95%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%AA,"गोविन्द शंकर कुरुपया जी शंकर कुरुप (५ जून१९०१-२ फरवरी१९७८)[1]मलयालमभाषा के प्रसिद्ध कवि हैं। उनका जन्मकेरलके एक गाँवनायतोट्टमें हुआ था। ३ साल की उम्र से उनकी शिक्षा आरंभ हुई। ८ वर्ष तक की आयु में वे 'अमर कोश' 'सिद्धरुपम' 'श्रीरामोदन्तम' आदि ग्रन्थ कंठस्थ कर चुके थे औररघुवंशमहाकाव्य के कईश्लोकपढ चुके थे। ११ वर्ष की आयु में महाकविकुंजिकुट्टनके गाँव आगमन पर वे कविता की ओर उन्मुख हुये।तिरुविल्वमलामें अध्यापन कार्य करते हुयेअँग्रेजीभाषातथासाहित्यका अध्ययन किया। अँग्रेजी साहित्य इनको गीति के आलोक की ओर ले गया। उनकी प्रसिद्ध रचनाओटक्कुष़ल[2]अर्थात बाँसुरी भारत सरकार द्वारा दिए जाने वाले साहित्य के सर्वोच्च पुरस्कारज्ञानपीठद्वारा सम्मानित हुई।[3]इनके द्वारा रचित एककविता–संग्रहविश्वदर्शनम्के लिये उन्हें सन् 1963 मेंसाहित्य अकादमीपुरस्कार से सम्मानित किया गया।[4]
जीवन परिचय
नायतोट्ट के सरलजीवी वातावरण में गोविन्द शंकर कुरुप का जन्म शंकर वारियर के घर में हुआ। उनकी माता का नाम लक्ष्मीकुट्टी अम्मा था। बचपन में ही पिता का देहांत हो जाने के कारण उनका लालन-पालन मामा ने किया। उनके मामा ज्योतिषी और पंडित थे जिसके कारण संस्कृत पढ़ने में उनकी सहज रुचि रही और उन्हें संस्कृत काव्य परंपरा के सुदृढ़ संस्कार मिले। आगे की पढ़ाई के लिए वेपेरुमपावूरके मिडिल स्कूल में पढ़ने गए। सातवीं कक्षा के बाद वे मूवाट्टुपुपा मलयालम हाई स्कूल में पढ़ने आए। यहाँ के दो अध्यापकों श्री आर.सी. शर्मा और श्री एस.एन. नायर का उनके ऊपर गहरा प्रभाव पड़ा। उन्होंनेकोचीनराज्य की पंडित परीक्षा पास की,बांग्लाऔरमलयालमके साहित्य का अध्ययन किया। उनकी पहली कविता 'आत्मपोषिणी' नामक मासिक पत्रिका में प्रकाशित हुई और जल्दी ही उनका पहला कविता संग्रह 'साहित्य कौतुमकम' प्रकाशित हुआ। इस समय वे तिरुविल्वामला हाई स्कूल में अध्यापक हो गए। १९२१ से १९२५ तक श्री शंकर कुरुप तिरुविल्वामला रहे। १९२५ में वेचालाकुटिहाई स्कूल आ गए। इसी वर्ष साहित्य कौतुकम का दूसरा भाग प्रकाशित हुआ। उनकी प्रतिभा और प्रसिद्धि चारों ओर फैलने लगी थी। १९३१ में नाले (आगामी कल) शीर्षक कविता से वे जन-जन में पहचाने गए। १९३७ से १९५६ तक वे महाराजा कॉलेजएर्णाकुलममें प्राध्यापक के पद पर कार्य करते रहे। प्राध्यापकी से अवकाश लेने के बाद वेआकाशवाणीके सलाहकार बने। १९६५ में ज्ञानपीठ के बाद उन्हें १९६७ मेंसोवियतलैंड नेहरू पुरस्कारप्राप्त हुआ।गोविंद शंकर कुरुपको साहित्य एवं शिक्षा के क्षेत्र में सन१९६८मेंभारत सरकारनेपद्म भूषणसे सम्मानित किया था, तथा उसी वर्ष राष्ट्रपति ने उन्हें राज्य सभा का सदस्य भी मनोनीत किया जिस पर वे १९६८ से १९७२ तक बने रहे। १९७८ में उनकी मृत्यु के समय केरल में राजकीय अवकाश की घोषणा की गई।
प्रकाशित कृतियाँ
- कविता संग्रह- साहित्य कौतुकम् - चार खंड (१९२३-१९२९), सूर्यकांति (१९३२), नवातिथि (१९३५), पूजा पुष्पमा (१९४४), निमिषम् (१९४५), चेंकतिरुकल् मुत्तुकल् (१९४५), वनगायकन् (१९४७), इतलुकल् (१९४८),ओटक्कुष़ल्(१९५०), पथिकंटे पाट्टु (१९५१), अंतर्दाह (१९५५), वेल्लिल्प्परवकल् (१९५५), विश्वदर्शनम् (१९६०), जीवन संगीतम् (१९६४), मून्नरुवियुम् ओरु पुष़युम् (१९६४), पाथेयम् (१९६१), जीयुहे तेरंजेटुत्त कवितकल् (१९७२), मधुरम् सौम्यम् दीप्तम्, वेलिच्चत्तिंटे दूतम्, सान्ध्यरागम्।
- निबंध संग्रह- गद्योपहारम् (१९४०), लेखमाल (१९४३), राक्कुयिलुकल्, मुत्तुम् चिप्पियुम (१९५९), जी. युटे नोटबुक, जी युटे गद्य लेखनंगल्।
- नाटक- इरुट्टिनु मुन्पु (१९३५), सान्ध्य (१९४४), आगस्ट १५ (१९५६)।
- बाल साहित्य- इलम् चंचुकल् (१९५४), ओलप्पीप्पि (१९४४), राधाराणि, जीयुटे बालकवितकाल्।
- आत्मकथा- ओम्मर्युटे ओलंगलिल् (दो खंड)
- अनुवाद- अनुवादों में से तीन बांग्ला में से हैं, दो संस्कृत से, एक अंग्रेज़ी",500
उमाशंकर जोशी,https://hi.wikipedia.org/wiki/%E0%A4%89%E0%A4%AE%E0%A4%BE%E0%A4%B6%E0%A4%82%E0%A4%95%E0%A4%B0_%E0%A4%9C%E0%A5%8B%E0%A4%B6%E0%A5%80,"उमाशंकर जोशीएकगुजरातीसाहित्यकार हैं। इन्हें1967मेंज्ञानपीठ पुरस्कारसे सम्मानित किया गया था। इनके द्वारा रचित एकसमालोचनाकविनी श्रद्धाके लिये उन्हें सन् १९७३ मेंसाहित्य अकादमी पुरस्कार(गुजराती) से सम्मानित किया गया।[1]
सन्दर्भ
1. ↑""अकादमी पुरस्कार"". साहित्य अकादमी.मूलसे 15 सितंबर 2016 को पुरालेखित. अभिगमन तिथि 11 सितंबर 2016.
- कुप्पाली वी गौड़ा पुटप्पा,उमाशंकर जोशी(१९६७)",47
रहमान राही,https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%A8_%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%80,"रहमान राही(1925-2023)कश्मीरके प्रमुख कवि थे।ज्ञानपीठ पुरस्कारउन्हें २००४ में मिला।
ग्रन्थ
रहमान राही के मुख्य ग्रन्थ:[1]
- Seyah Rudi Jerean Manz(collection of Kashmiri poetry)
- Koesher Shyiree Te Waznuk Surati Hal(Kashmiri poetry and its parameters).
सन्दर्भ
- कुप्पाली वी गौड़ा पुटप्पा,उमाशंकर जोशी(१९६७)",41
